PARTY,Q2A_C,Q2A_D,Q2A_F,Q2B_A,Q2B_B,Q2B_C,Q2B_D,Q2B_E,Q2B_F,Q2B_G,Q2B_H,Q2B_I,Q2B_J,Q2B_K,Q2B_L,Q2B_M,Q2B_N,Q2B_O,Q2B_P,demFav,Q2A_A,Q2A_B,Q2A_E,repFav,cDemFav,zDemFav,zRepFav
Democrat,2,1,1,2,2,1,2,3,1,NA,NA,NA,4,NA,NA,2,3,NA,2,3,4,NA,4,1,0.667138516,0.832253397,-1.247853227
Independent,3,NA,2,2,3,2,3,2,3,NA,NA,4,1,NA,2,3,2,NA,NA,2.538461538,2,2,3,2.666666667,0.205600055,0.256485482,0.84704027
Independent,2,NA,1,2,2,3,3,2,2,NA,2,NA,4,NA,4,3,NA,NA,2,2.538461538,3,2,2,2.666666667,0.205600055,0.256485482,0.84704027
Independent,3,NA,1,3,3,3,3,3,3,NA,3,3,NA,NA,NA,3,3,NA,3,2.153846154,4,3,4,1.333333333,-0.17901533,-0.223321114,-0.828874527
Republican,4,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,4,4,2,-1.332861484,-1.662740901,0.009082872
Independent,3,3,2,3,NA,3,3,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.25,3,NA,3,2,-0.082861484,-0.103369465,0.009082872
Independent,3,3,3,3,3,3,3,4,3,NA,NA,4,NA,NA,NA,NA,NA,NA,3,1.818181818,3,NA,3,2,-0.514679666,-0.642061415,0.009082872
Democrat,1,NA,1,2,1,1,1,1,1,2,NA,NA,NA,2,NA,NA,2,3,2,3.461538462,4,4,4,1,1.128676978,1.408021311,-1.247853227
Independent,3,3,1,2,3,3,4,2,4,NA,NA,NA,NA,NA,3,4,NA,NA,NA,2.090909091,2,NA,3,2.5,-0.241952393,-0.30183492,0.637550921
Independent,3,3,2,2,NA,NA,3,2,2,NA,2,3,NA,NA,NA,NA,NA,NA,NA,2.555555556,4,NA,3,1.5,0.222694072,0.277810219,-0.619385178
Independent,2,NA,2,3,2,1,2,1,3,NA,3,NA,NA,2,NA,2,NA,NA,2,2.916666667,4,2,4,1.666666667,0.583805183,0.728295301,-0.409895828
Democrat,3,2,3,2,2,2,2,2,2,NA,NA,2,2,2,NA,2,2,NA,NA,2.857142857,2,NA,1,3.5,0.524281373,0.654039518,1.894487019
Republican,4,4,3,3,4,4,4,4,4,NA,4,NA,3,NA,NA,4,4,4,NA,1.214285714,1,NA,2,3.5,-1.11857577,-1.395420083,1.894487019
Independent,2,2,2,1,3,2,3,2,2,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,2.8,4,NA,3,1.5,0.467138516,0.582753967,-0.619385178
Independent,2,NA,2,1,3,2,2,2,2,NA,2,2,NA,NA,2,NA,NA,1,2,3.076923077,4,2,4,1.666666667,0.744061593,0.928214716,-0.409895828
Democrat,4,4,2,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.4,4,NA,4,1,0.067138516,0.083755107,-1.247853227
Independent,3,NA,1,1,NA,NA,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,3,3,1.666666667,0.667138516,0.832253397,-0.409895828
Independent,4,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,2,3.5,-1.332861484,-1.662740901,1.894487019
Independent,3,NA,2,2,3,3,3,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.375,3,3,3,2,0.042138516,0.052567679,0.009082872
Independent,2,NA,3,2,NA,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.8,3,2,2,2.666666667,0.467138516,0.582753967,0.84704027
Independent,4,NA,4,4,NA,2,4,3,4,2,2,2,NA,NA,NA,2,NA,NA,2,2.083333333,2,2,2,3,-0.249528151,-0.311285656,1.26601897
Independent,2,3,2,3,3,1,3,3,2,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,2.5,4,NA,3,1.5,0.167138516,0.208504822,-0.619385178
Democrat,3,NA,3,3,NA,NA,NA,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.2,3,3,4,1.666666667,-0.132861484,-0.165744322,-0.409895828
Republican,4,NA,3,4,3,NA,4,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.428571429,2,3,3,2.333333333,-0.904290055,-1.128099266,0.428061571
Independent,2,NA,2,2,2,2,2,2,2,NA,2,2,NA,2,NA,2,2,NA,NA,3,4,2,4,1.666666667,0.667138516,0.832253397,-0.409895828
Other,4,4,4,4,4,4,4,4,4,NA,NA,4,3,NA,4,NA,4,NA,4,1.071428571,3,NA,4,1.5,-1.261432912,-1.573633961,-0.619385178
